jobType,jobNo,jobName,jobNameSnippet,jobRole,jobRo,jobAddrNo,jobAddrNoDesc,jobAddress,description,descWithoutHighlight,optionEdu,period,periodDesc,applyCnt,applyType,applyDesc,custNo,custName,coIndustry,coIndustryDesc,salaryLow,salaryHigh,salaryDesc,s10,appearDate,appearDateDesc,optionZone,isApply,applyDate,isSave,descSnippet,tags,landmark,link,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major,salaryType,dist,mrt,mrtDesc
2,13974894,I112 Java/PHP/Python系統開發工程師(可遠端工作),I112 Java/PHP/<em class='b-txt--highlight'>Python</em>系統開發工程師(可遠端工作),1,1,6001001005,台北市大安區,,"1. 系統建置、維運、調教、監控。
2. 資料庫維運管理。
3. 功能問題排除、程式調整。
4. 自動化程式、系統報表開發。

【薪資待遇】：月薪36,000元-53,000元，依績效另有豐厚年終獎金與員工紅利。","1. 系統建置、維運、調教、監控。
2. 資料庫維運管理。
3. 功能問題排除、程式調整。
4. 自動化程式、系統報表開發。

【薪資待遇】：月薪36,000元-53,000元，依績效另有豐厚年終獎金與員工紅利。",學歷不拘,03,2年以上,00005,1,0~5人應徵,97176270000,台灣大哥大股份有限公司,1001002001,電信相關業,0036000,0053000,"月薪36,000~53,000元",50,20241022,10/22,1314816,0,,0,"1. 系統建置、維運、調教、監控。
2. 資料庫維運管理。
3. 功能問題排除、程式調整。
4. 自動化程式、系統報表開發。

【薪資待遇】：月薪36,000元-53,000元，依績效另有豐厚年終獎金與員工紅利。","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工4500人', 'param': '8'}, 'remote': {'desc': '遠端工作'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8bj3i?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8bj3i?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/18n48ptc?jobsource=2018indexpoc'}",2018indexpoc,I112 Java/PHP/Python系統開發工程師(可遠端工作),台灣大哥大股份有限公司,121.5433783,25.0249441,2,[],M,,,
2,14277849,I105 Python Web工程師(可遠端工作),I105 <em class='b-txt--highlight'>Python</em> Web工程師(可遠端工作),1,1,6001001005,台北市大安區,,聽過黑盒子、演算法、機器學習、Alphago嗎?這些讓我們聯想到AI的代名詞是否讓你躍躍欲試？&quot;AI&quot;所綻放的魔力吸引了眾多人趨之若鶩，資料科學領域無限寛廣，是否想找個能一展身手的機會？是否想要學習各種程式語言SQL、[[[Python]]]、R、SPARK,"聽過黑盒子、演算法、機器學習、Alphago嗎?這些讓我們聯想到AI的代名詞是否讓你躍躍欲試？""AI""所綻放的魔力吸引了眾多人趨之若鶩，資料科學領域無限寛廣，是否想找個能一展身手的機會？是否想要學習各種程式語言SQL、Python、R、SPARK",學歷不拘,00,經歷不拘,00028,3,11~30人應徵,97176270000,台灣大哥大股份有限公司,1001002001,電信相關業,0036000,0060000,"月薪36,000~60,000元",50,20241022,10/22,1314816,0,,0,聽過黑盒子、演算法、機器學習、Alphago嗎?這些讓我們聯想到AI的代名詞是否讓你躍躍欲試？&quot;AI&quot;所綻放的魔力吸引了眾多人趨之若鶩，資料科學領域無限寛廣，是否想找個能一展身手的機會？是否想要學習各種程式語言SQL、<em class='b-txt--highlight'>Python</em>、R、SPARK,"{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工4500人', 'param': '8'}, 'remote': {'desc': '遠端工作'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8i0ux?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8i0ux?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/18n48ptc?jobsource=2018indexpoc'}",2018indexpoc,I105 Python Web工程師(可遠端工作),台灣大哥大股份有限公司,121.5433783,25.0249441,2,[],M,,,
2,13328825,軟體工程師(L1),軟體工程師(L1),1,1,6001001006,台北市萬華區,峨眉街115號6樓,"系統程式開發,系統設計, AI技術研究與實作

※薪資依學經歷敘薪","系統程式開發,系統設計, AI技術研究與實作

※薪資依學經歷敘薪",大學,00,經歷不拘,00004,1,0~5人應徵,4967550000,凌群電腦股份有限公司,1001001001,電腦系統整合服務業,0030000,9999999,"月薪30,000元以上",50,20241022,10/22,1314816,0,,0,"系統程式開發,系統設計, AI技術研究與實作

※薪資依學經歷敘薪","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工1100人', 'param': '8'}}",距捷運西門站約500公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7xol5?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7xol5?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/2a5ju40?jobsource=2018indexpoc'}",2018indexpoc,軟體工程師(L1),凌群電腦股份有限公司,121.5035881,25.0445185,0,"['數學及電算機科學學科類', '資訊管理相關', '電機電子工程相關']",M,0.5,99001003013,捷運西門站
2,13248998,元大金控-投顧研究中心-期貨顧問研究員,元大金控-投顧研究中心-期貨顧問研究員,1,1,6001001005,台北市大安區,仁愛三段157號4樓,"1.能源、碳權相關商品研究，含研報數據、資料蒐集、整理及簡報製作。
2.陸港股研究，含研報數據、資料蒐集、整理及簡報製作。
3.交易策略發想、程式撰寫。
4.支援行政事務、長官交辦事項。","1.能源、碳權相關商品研究，含研報數據、資料蒐集、整理及簡報製作。
2.陸港股研究，含研報數據、資料蒐集、整理及簡報製作。
3.交易策略發想、程式撰寫。
4.支援行政事務、長官交辦事項。",大學,02,1年以上,0,1,0~5人應徵,70796749000,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),1004001007,金融控股業,0000000,0000000,待遇面議,10,20241022,10/22,3412608,0,,0,"1.能源、碳權相關商品研究，含研報數據、資料蒐集、整理及簡報製作。
2.陸港股研究，含研報數據、資料蒐集、整理及簡報製作。
3.交易策略發想、程式撰寫。
4.支援行政事務、長官交辦事項。","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工15000人', 'param': '8'}}",距捷運古亭站約420公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7vyzq?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7vyzq?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/wiuk154?jobsource=2018indexpoc'}",2018indexpoc,元大金控-投顧研究中心-期貨顧問研究員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),121.5222653,25.0302486,0,"['財稅金融相關', '統計學相關', '經濟學相關']",,0.42,99001003010,捷運古亭站
0,13854189,軟體工程師,軟體工程師,1,1,6001001004,台北市松山區,八德路三段32號15樓（敦北長城大樓）,"1. Client-Server Web Apps with JavaScript and Java開發經驗
2. Azure / AWS / GCP / Git 使用經驗 is plus
3. 具專案開發之執行及管理經驗
4. 既有程式優化修改、新功能開發
5. 規劃執行軟體架構及模組之設計
6. 良好團隊合作與溝通

","1. Client-Server Web Apps with JavaScript and Java開發經驗
2. Azure / AWS / GCP / Git 使用經驗 is plus
3. 具專案開發之執行及管理經驗
4. 既有程式優化修改、新功能開發
5. 規劃執行軟體架構及模組之設計
6. 良好團隊合作與溝通

",大學,00,經歷不拘,00003,1,0~5人應徵,4926876000,隴華電子股份有限公司,1001003001,電腦及其週邊設備製造業,0000000,0000000,待遇面議,10,20241022,10/22,1048576,0,,0,"1. Client-Server Web Apps with JavaScript and Java開發經驗
2. Azure / AWS / GCP / Git 使用經驗 is plus
3. 具專案開發之執行及管理經驗
4. 既有程式優化修改、新功能開發
5. 規劃執行軟體架構及模組之設計
6. 良好團隊合作與溝通

","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工30人', 'param': '4'}}",距捷運台北小巨蛋站約410公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/88xyl?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/88xyl?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/29hc1uo?jobsource=2018indexpoc'}",2018indexpoc,軟體工程師,隴華電子股份有限公司,121.5516689,25.0480181,0,[],,0.41,99001003018,捷運台北小巨蛋站
2,11658529,PA_產品驗證工程師/測試工程師,PA_產品驗證工程師/測試工程師,1,1,6001001010,台北市內湖區,新湖一路278號,"1. 執行 AP/Router/Switch/IPCam/NIC 等網路產品的驗證，涵蓋軟硬體功能、效能、相容性及壓力測試
2. 根據產品規格制定測試計畫，執行測試內容，並負責追蹤與管理 bugs，掌握問題進度
3. 與 Engineering team 合作進行問題驗證與解決，分析測試結果並提出改進建議
4. 建立測試環境，撰寫測試SOP
5. 協助重現與分析客戶回報的問題
6. 完成主管交辦事項

","1. 執行 AP/Router/Switch/IPCam/NIC 等網路產品的驗證，涵蓋軟硬體功能、效能、相容性及壓力測試
2. 根據產品規格制定測試計畫，執行測試內容，並負責追蹤與管理 bugs，掌握問題進度
3. 與 Engineering team 合作進行問題驗證與解決，分析測試結果並提出改進建議
4. 建立測試環境，撰寫測試SOP
5. 協助重現與分析客戶回報的問題
6. 完成主管交辦事項

",大學,00,經歷不拘,00008,2,6~10人應徵,22164580000,訊舟科技股份有限公司,1001003001,電腦及其週邊設備製造業,0000000,0000000,待遇面議,10,20241022,10/22,1314816,0,,0,"1. 執行 AP/Router/Switch/IPCam/NIC 等網路產品的驗證，涵蓋軟硬體功能、效能、相容性及壓力測試
2. 根據產品規格制定測試計畫，執行測試內容，並負責追蹤與管理 bugs，掌握問題進度
3. 與 Engineering team 合作進行問題驗證與解決，分析測試結果並提出改進建議
4. 建立測試環境，撰寫測試SOP
5. 協助重現與分析客戶回報的問題
6. 完成主管交辦事項

","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工1500人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/6xvs1?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/6xvs1?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/a6k7vds?jobsource=2018indexpoc'}",2018indexpoc,PA_產品驗證工程師/測試工程師,訊舟科技股份有限公司,121.5823331,25.0623484,0,"['電機電子工程相關', '資訊工程相關']",,,,
2,13189105,【寶雅-台北總公司】行銷處_CRM會員行銷_資深專員,【寶雅-台北總公司】行銷處_CRM會員行銷_資深專員,1,1,6001001003,台北市中山區,復興南路一段2號三樓(近捷運忠孝復興站),".積極主動並能獨立提出新想法和解決方案

【加分條件】
1.具2年以上會員經營分析經驗
2.具2年以上零售、FMCG、電商數據分析經驗
3.具Power BI應用/建置實務工作經驗
4.熟悉[[[Python]]]、API、Power BI
5.執行力強、具整",".積極主動並能獨立提出新想法和解決方案

【加分條件】
1.具2年以上會員經營分析經驗
2.具2年以上零售、FMCG、電商數據分析經驗
3.具Power BI應用/建置實務工作經驗
4.熟悉Python、API、Power BI
5.執行力強、具整",大學,03,2年以上,00007,2,6~10人應徵,97151664000,寶雅國際股份有限公司,1003002013,百貨相關業,0000000,0000000,待遇面議,10,20241022,10/22,1052672,0,,0,".積極主動並能獨立提出新想法和解決方案

【加分條件】
1.具2年以上會員經營分析經驗
2.具2年以上零售、FMCG、電商數據分析經驗
3.具Power BI應用/建置實務工作經驗
4.熟悉<em class='b-txt--highlight'>Python</em>、API、Power BI
5.執行力強、具整","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工5000人', 'param': '8'}}",距捷運南京復興站約500公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7uos1?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7uos1?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/18mplbpc?jobsource=2018indexpoc'}",2018indexpoc,【寶雅-台北總公司】行銷處_CRM會員行銷_資深專員,寶雅國際股份有限公司,121.5436349,25.0471223,0,[],,0.5,99001001011,捷運南京復興站
2,7111106,RD1_SW測試部/軟體測試工程師,RD1_SW測試部/軟體測試工程師,1,1,6001001010,台北市內湖區,新湖一路278號,"1. 軟體功能/效能測試，追蹤問題，複製客戶回報問題並架設環境釐清問題
2. 新技術及專業文件(英文)閱讀並從中找到提申效能方式並實現
3. 建構測試還境模擬(複製)客戶問題及環境
4. 撰寫Script去","1. 軟體功能/效能測試，追蹤問題，複製客戶回報問題並架設環境釐清問題
2. 新技術及專業文件(英文)閱讀並從中找到提申效能方式並實現
3. 建構測試還境模擬(複製)客戶問題及環境
4. 撰寫Script去",專科,00,經歷不拘,00003,1,0~5人應徵,22164580000,訊舟科技股份有限公司,1001003001,電腦及其週邊設備製造業,0000000,0000000,待遇面議,10,20241022,10/22,1314816,0,,0,"1. 軟體功能/效能測試，追蹤問題，複製客戶回報問題並架設環境釐清問題
2. 新技術及專業文件(英文)閱讀並從中找到提申效能方式並實現
3. 建構測試還境模擬(複製)客戶問題及環境
4. 撰寫Script去","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工1500人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/48eyq?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/48eyq?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/a6k7vds?jobsource=2018indexpoc'}",2018indexpoc,RD1_SW測試部/軟體測試工程師,訊舟科技股份有限公司,121.5823477,25.062202,0,[],,,,
2,12953849,4H新光金控_ 數據科學家,4H新光金控_ 數據科學家,1,1,6001001001,台北市中正區,忠孝西路一段66號39樓,"1.客戶行為及數據洞察分析，掌握整合行銷的潛在客群並發掘業務機會點。
2.彙整、分析與定期產出團隊例行或專案的監測資料或報告。
3.協助金控及子公司間跨售相關業務，並提出整合行銷策略洞察與規劃。

&lt;條件要求&gt; 
1.對以數據挖掘問題與機會有高度熱枕與洞察力，具備跨組織之溝通協調及專案管理能力。
2.熟悉資料庫與工具(如SQL)與視覺化圖表之分析工具，例如Tableau。 
3.注重細節的團隊合作者，具有良好的溝通與表達能力。 
4. 金融產業相關數據分析與應用2年以上經驗者。","1.客戶行為及數據洞察分析，掌握整合行銷的潛在客群並發掘業務機會點。
2.彙整、分析與定期產出團隊例行或專案的監測資料或報告。
3.協助金控及子公司間跨售相關業務，並提出整合行銷策略洞察與規劃。

<條件要求> 
1.對以數據挖掘問題與機會有高度熱枕與洞察力，具備跨組織之溝通協調及專案管理能力。
2.熟悉資料庫與工具(如SQL)與視覺化圖表之分析工具，例如Tableau。 
3.注重細節的團隊合作者，具有良好的溝通與表達能力。 
4. 金融產業相關數據分析與應用2年以上經驗者。",大學,03,2年以上,00007,2,6~10人應徵,80328219000,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),1004001007,金融控股業,0000000,0000000,待遇面議,10,20241022,10/22,3149952,0,,0,"1.客戶行為及數據洞察分析，掌握整合行銷的潛在客群並發掘業務機會點。
2.彙整、分析與定期產出團隊例行或專案的監測資料或報告。
3.協助金控及子公司間跨售相關業務，並提出整合行銷策略洞察與規劃。

&lt;條件要求&gt; 
1.對以數據挖掘問題與機會有高度熱枕與洞察力，具備跨組織之溝通協調及專案管理能力。
2.熟悉資料庫與工具(如SQL)與視覺化圖表之分析工具，例如Tableau。 
3.注重細節的團隊合作者，具有良好的溝通與表達能力。 
4. 金融產業相關數據分析與應用2年以上經驗者。","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工16000人', 'param': '8'}}",距捷運台北車站站約270公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7pn95?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7pn95?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/10whcigo?jobsource=2018indexpoc'}",2018indexpoc,4H新光金控_ 數據科學家,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),121.5153112,25.0459441,0,"['資訊管理相關', '資訊工程相關', '數理統計相關']",,0.27,99001002009,捷運台北車站站
2,14222143,總部功能-資安資訊中心-Data Scientist,總部功能-資安資訊中心-Data Scientist,1,1,6001001010,台北市內湖區,瑞光路392號,"1.負責大數據分析，透過數據挖掘提升企業價值鏈。
2.與不同單位同仁協作，包含系統、AI工程團隊，設計並開發完整的數位工具解決方案
3.開發與部署多種資料來源的資料收集管線，涵蓋IIoT、MES、ERP、PLM、外部網站等
4.使用資料視覺化工具（如Power BI）製作報告和儀表板，提供深入數據分析。
5.參與數據治理和資料品質管理，確保資料品質和一致性。","1.負責大數據分析，透過數據挖掘提升企業價值鏈。
2.與不同單位同仁協作，包含系統、AI工程團隊，設計並開發完整的數位工具解決方案
3.開發與部署多種資料來源的資料收集管線，涵蓋IIoT、MES、ERP、PLM、外部網站等
4.使用資料視覺化工具（如Power BI）製作報告和儀表板，提供深入數據分析。
5.參與數據治理和資料品質管理，確保資料品質和一致性。",碩士,02,1年以上,00008,2,6~10人應徵,23357403000,光寶科技股份有限公司,1001003003,消費性電子產品製造業,0000000,0000000,待遇面議,10,20241022,10/22,36966528,0,,0,"1.負責大數據分析，透過數據挖掘提升企業價值鏈。
2.與不同單位同仁協作，包含系統、AI工程團隊，設計並開發完整的數位工具解決方案
3.開發與部署多種資料來源的資料收集管線，涵蓋IIoT、MES、ERP、PLM、外部網站等
4.使用資料視覺化工具（如Power BI）製作報告和儀表板，提供深入數據分析。
5.參與數據治理和資料品質管理，確保資料品質和一致性。","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工30000人', 'param': '8'}}",距捷運港墘站約470公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8gtvj?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8gtvj?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/aqae7i0?jobsource=2018indexpoc'}",2018indexpoc,總部功能-資安資訊中心-Data Scientist,光寶科技股份有限公司,121.5711666,25.077819,0,"['資訊管理相關', '資訊工程相關', '統計學相關']",,0.47,99001001017,捷運港墘站
